S_TimeStamp,MeasurementValue
1/12/2015 8:30,90
1/12/2015 9:00,70.6
1/12/2015 9:30,71.4
1/12/2015 10:00,75.6
1/12/2015 10:30,74.2
1/12/2015 11:00,74.8
1/12/2015 11:30,79.2
1/12/2015 12:00,77.4
1/12/2015 12:30,76.6
1/12/2015 13:00,79.8
1/12/2015 13:30,81.2
1/12/2015 14:00,82.6
1/12/2015 14:30,81.8
1/12/2015 15:00,90.4
1/12/2015 15:30,95.6
1/12/2015 16:00,92.2
1/12/2015 16:30,91.4
1/12/2015 17:00,85
1/12/2015 17:30,87
1/12/2015 18:00,101.8
1/12/2015 18:30,101
1/12/2015 19:00,103.4
1/12/2015 19:30,105.6
1/12/2015 20:00,108.8
1/12/2015 20:30,103
1/12/2015 21:00,104.2
1/12/2015 21:30,100.4
1/12/2015 22:00,93.8
1/12/2015 22:30,89.8
1/12/2015 23:00,85.8
1/12/2015 23:30,80.2
1/13/2015,72.2
1/13/2015 0:30,65.6
1/13/2015 1:00,60.8
1/13/2015 1:30,56.8
1/13/2015 2:00,62.2
1/13/2015 2:30,60.8
1/13/2015 3:00,60.2
1/13/2015 3:30,56.6
1/13/2015 4:00,55.2
1/13/2015 4:30,53.6
1/13/2015 5:00,54.6
1/13/2015 5:30,54.4
1/13/2015 6:00,57
1/13/2015 6:30,65.2
1/13/2015 7:00,74.8
1/13/2015 7:30,83.2
1/13/2015 8:00,76.8
1/13/2015 8:30,79.4
1/13/2015 9:00,75.8
1/13/2015 9:30,76.6
1/13/2015 10:00,77
1/13/2015 10:30,73.2
1/13/2015 11:00,75
1/13/2015 11:30,76
1/13/2015 12:00,75.6
1/13/2015 12:30,79.4
1/13/2015 13:00,79
1/13/2015 13:30,74.6
1/13/2015 14:00,77
1/13/2015 14:30,74.8
1/13/2015 15:00,82.8
1/13/2015 15:30,87
1/13/2015 16:00,83.6
1/13/2015 16:30,84.4
1/13/2015 17:00,78.6
1/13/2015 17:30,87.6
1/13/2015 18:00,100.2
1/13/2015 18:30,103.6
1/13/2015 19:00,103.2
1/13/2015 19:30,105
1/13/2015 20:00,109
1/13/2015 20:30,108
1/13/2015 21:00,102.6
1/13/2015 21:30,103.6
1/13/2015 22:00,99.6
1/13/2015 22:30,92.2
1/13/2015 23:00,88.8
1/13/2015 23:30,83
1/14/2015,72.6
1/14/2015 0:30,65.2
1/14/2015 1:00,60
1/14/2015 1:30,56.4
1/14/2015 2:00,62.2
1/14/2015 2:30,63.6
1/14/2015 3:00,61
1/14/2015 3:30,57.4
1/14/2015 4:00,56.4
1/14/2015 4:30,56.2
1/14/2015 5:00,58.6
1/14/2015 5:30,57.4
1/14/2015 6:00,60.8
1/14/2015 6:30,68
1/14/2015 7:00,76.8
1/14/2015 7:30,92.2
1/14/2015 8:00,79.4
1/14/2015 8:30,80.2
1/14/2015 9:00,82
1/14/2015 9:30,79.6
1/14/2015 10:00,78.8
1/14/2015 10:30,77.4
1/14/2015 11:00,73.8
1/14/2015 11:30,71.8
1/14/2015 12:00,68.8
1/14/2015 12:30,69
1/14/2015 13:00,72.4
1/14/2015 13:30,72
1/14/2015 14:00,70
1/14/2015 14:30,71.2
1/14/2015 15:00,81.8
1/14/2015 15:30,87
1/14/2015 16:00,86.4
1/14/2015 16:30,85.8
1/14/2015 17:00,86
1/14/2015 17:30,90.2
1/14/2015 18:00,104.8
1/14/2015 18:30,105.2
1/14/2015 19:00,109
1/14/2015 19:30,113
1/14/2015 20:00,113.6
1/14/2015 20:30,116.4
1/14/2015 21:00,112
1/14/2015 21:30,104.8
1/14/2015 22:00,102
1/14/2015 22:30,94.4
1/14/2015 23:00,91.2
1/14/2015 23:30,84.4
1/15/2015,73.4
1/15/2015 0:30,65
1/15/2015 1:00,60.6
1/15/2015 1:30,57
1/15/2015 2:00,63.8
1/15/2015 2:30,64
1/15/2015 3:00,60.4
1/15/2015 3:30,57.8
1/15/2015 4:00,57.4
1/15/2015 4:30,55
1/15/2015 5:00,57
1/15/2015 5:30,55.8
1/15/2015 6:00,57.2
1/15/2015 6:30,64.2
1/15/2015 7:00,79.8
1/15/2015 7:30,80.6
1/15/2015 8:00,75.6
1/15/2015 8:30,82.8
1/15/2015 9:00,80.4
1/15/2015 9:30,79.8
1/15/2015 10:00,76
1/15/2015 10:30,73.8
1/15/2015 11:00,72.2
1/15/2015 11:30,73.6
1/15/2015 12:00,71.8
1/15/2015 12:30,73.6
1/15/2015 13:00,75.4
1/15/2015 13:30,75.8
1/15/2015 14:00,69.6
1/15/2015 14:30,69.8
1/15/2015 15:00,82
1/15/2015 15:30,82.2
1/15/2015 16:00,80.2
1/15/2015 16:30,80.4
1/15/2015 17:00,79.8
1/15/2015 17:30,86.6
1/15/2015 18:00,97
1/15/2015 18:30,100.2
1/15/2015 19:00,102
1/15/2015 19:30,104.2
1/15/2015 20:00,105.4
1/15/2015 20:30,104
1/15/2015 21:00,100.8
1/15/2015 21:30,101
1/15/2015 22:00,97.4
1/15/2015 22:30,89.8
1/15/2015 23:00,84.2
1/15/2015 23:30,81.4
1/16/2015,71
1/16/2015 0:30,65.2
1/16/2015 1:00,61
1/16/2015 1:30,55.8
1/16/2015 2:00,62.4
1/16/2015 2:30,60.8
1/16/2015 3:00,59.8
1/16/2015 3:30,56.6
1/16/2015 4:00,53.6
1/16/2015 4:30,54.4
1/16/2015 5:00,54.8
1/16/2015 5:30,53.8
1/16/2015 6:00,56.2
1/16/2015 6:30,58.8
1/16/2015 7:00,69.4
1/16/2015 7:30,85
1/16/2015 8:00,74.6
1/16/2015 8:30,76
1/16/2015 9:00,75.2
1/16/2015 9:30,73.4
1/16/2015 10:00,70.8
1/16/2015 10:30,67.6
1/16/2015 11:00,69.4
1/16/2015 11:30,65
1/16/2015 12:00,64.6
1/16/2015 12:30,67.6
1/16/2015 13:00,70.6
1/16/2015 13:30,68.2
1/16/2015 14:00,67
1/16/2015 14:30,68.2
1/16/2015 15:00,75.6
1/16/2015 15:30,83
1/16/2015 16:00,81.2
1/16/2015 16:30,85.4
1/16/2015 17:00,79.4
1/16/2015 17:30,86
