S_TimeStamp,MeasurementValue
16 May 2016 11:30,6.2
16 May 2016 12:00,6
16 May 2016 12:30,4.8
16 May 2016 13:00,2.8
16 May 2016 13:30,2.8
16 May 2016 14:00,1.4
16 May 2016 14:30,2
16 May 2016 15:00,6
16 May 2016 15:30,8.4
16 May 2016 16:00,0.8
16 May 2016 16:30,1.2
16 May 2016 17:00,1.4
16 May 2016 17:30,1
16 May 2016 18:00,1.6
16 May 2016 18:30,1.6
16 May 2016 19:00,1.2
16 May 2016 19:30,1.8
16 May 2016 20:00,5.4
16 May 2016 20:30,6.2
16 May 2016 21:00,7.8
16 May 2016 21:30,7.2
16 May 2016 22:00,7.6
16 May 2016 22:30,6.6
16 May 2016 23:00,7.2
16 May 2016 23:30,7.4
17 May 2016 00:00,6.8
17 May 2016 00:30,7
17 May 2016 01:00,7.4
17 May 2016 01:30,5.6
17 May 2016 02:00,5.2
17 May 2016 02:30,6.4
17 May 2016 03:00,5.2
17 May 2016 03:30,5.6
17 May 2016 04:00,5.4
17 May 2016 04:30,6
17 May 2016 05:00,4.8
17 May 2016 05:30,4.6
17 May 2016 06:00,4.6
17 May 2016 06:30,5.2
17 May 2016 07:00,5
17 May 2016 07:30,4.8
17 May 2016 08:00,5.8
17 May 2016 08:30,6
17 May 2016 09:00,5.2
17 May 2016 09:30,5.8
17 May 2016 10:00,6.8
17 May 2016 10:30,4.8
17 May 2016 11:00,2.6
17 May 2016 11:30,9.8
17 May 2016 12:00,23.2
17 May 2016 12:30,35
17 May 2016 13:00,45
17 May 2016 13:30,50.2
17 May 2016 14:00,56.4
17 May 2016 14:30,60
17 May 2016 15:00,63.2
17 May 2016 15:30,63.2
17 May 2016 16:00,63.2
17 May 2016 16:30,59.6
17 May 2016 17:00,57.6
17 May 2016 17:30,52.8
17 May 2016 18:00,45.8
17 May 2016 18:30,35.8
17 May 2016 19:00,24
17 May 2016 19:30,10.4
17 May 2016 20:00,2
17 May 2016 20:30,7
17 May 2016 21:00,8.2
17 May 2016 21:30,7.8
17 May 2016 22:00,8.2
17 May 2016 22:30,7.6
17 May 2016 23:00,7.8
17 May 2016 23:30,7.4
18 May 2016 00:00,7
18 May 2016 00:30,6.6
18 May 2016 01:00,6.6
18 May 2016 01:30,5.8
18 May 2016 02:00,5.2
18 May 2016 02:30,5.4
18 May 2016 03:00,5.6
18 May 2016 03:30,5.2
18 May 2016 04:00,5.4
18 May 2016 04:30,6
18 May 2016 05:00,5
18 May 2016 05:30,5.2
18 May 2016 06:00,5
18 May 2016 06:30,5
18 May 2016 07:00,4.8
18 May 2016 07:30,4.6
18 May 2016 08:00,5.4
18 May 2016 08:30,5.2
18 May 2016 09:00,6.4
18 May 2016 09:30,6
18 May 2016 10:00,6.4
18 May 2016 10:30,6.2
18 May 2016 11:00,2.8
18 May 2016 11:30,11
18 May 2016 12:00,25.2
18 May 2016 12:30,35.8
18 May 2016 13:00,45.2
18 May 2016 13:30,52.2
18 May 2016 14:00,56.4
18 May 2016 14:30,60.2
18 May 2016 15:00,61
18 May 2016 15:30,61
18 May 2016 16:00,60.4
18 May 2016 16:30,57.8
18 May 2016 17:00,54.6
18 May 2016 17:30,51.2
18 May 2016 18:00,44.4
18 May 2016 18:30,34.8
18 May 2016 19:00,23.2
18 May 2016 19:30,9.8
18 May 2016 20:00,1.6
18 May 2016 20:30,6.2
18 May 2016 21:00,7.2
18 May 2016 21:30,7.6
18 May 2016 22:00,8.2
18 May 2016 22:30,7
