/home/aris/data/lamia.csv,MeasurementValue
1/3/2011 10:00,73.73
1/3/2011 10:30,73.73
1/3/2011 11:00,73.73
1/3/2011 11:30,73.73
1/3/2011 12:00,73.73
1/3/2011 12:30,73.73
1/3/2011 13:00,73.73
1/3/2011 13:30,73.73
1/3/2011 14:00,73.73
1/3/2011 14:30,73.73
1/3/2011 15:00,73.73
1/3/2011 15:30,73.73
1/3/2011 16:00,73.73
1/3/2011 16:30,73.73
1/3/2011 17:00,73.73
1/3/2011 17:30,73.73
1/3/2011 18:00,73.73
1/3/2011 18:30,73.73
1/3/2011 19:00,73.73
1/3/2011 19:30,73.73
1/3/2011 20:00,73.73
1/3/2011 20:30,73.73
1/3/2011 21:00,73.73
1/3/2011 21:30,73.73
1/3/2011 22:00,73.73
1/3/2011 22:30,73.73
1/3/2011 23:00,73.73
1/3/2011 23:30,73.73
1/4/2011,73.73
1/4/2011 0:30,73.73
1/4/2011 1:00,73.73
1/4/2011 1:30,73.73
1/4/2011 2:00,73.73
1/4/2011 2:30,73.73
1/4/2011 3:00,73.73
1/4/2011 3:30,73.73
1/4/2011 4:00,73.73
1/4/2011 4:30,73.73
1/4/2011 5:00,73.73
1/4/2011 5:30,73.73
1/4/2011 6:00,73.73
1/4/2011 6:30,73.73
1/4/2011 7:00,73.73
1/4/2011 7:30,73.73
1/4/2011 8:00,73.73
1/4/2011 8:30,73.73
1/4/2011 9:00,73.73
1/4/2011 9:30,73.73
1/4/2011 10:00,73.73
1/4/2011 10:30,94.91
1/4/2011 11:00,89.38
1/4/2011 11:30,96.15
1/4/2011 12:00,93.69
1/4/2011 12:30,96.45
1/4/2011 13:00,90.3
1/4/2011 13:30,97.99
1/4/2011 14:00,94.61
1/4/2011 14:30,97.07
1/4/2011 15:00,91.84
1/4/2011 15:30,84.17
1/4/2011 16:00,80.48
1/4/2011 16:30,82.01
1/4/2011 17:00,76.8
1/4/2011 17:30,76.8
1/4/2011 18:00,83.55
1/4/2011 18:30,77.72
1/4/2011 19:00,72.81
