DATE,I
2013-11-03 00:00,5.1
2013-11-03 00:10,5.2
2013-11-03 00:20,5.2
2013-11-03 00:30,6.3
2013-11-03 00:40,6.4
2013-11-03 00:50,4.9
2013-11-03 01:00,5.1
2013-11-03 01:10,5
2013-11-03 01:20,4.9
2013-11-03 01:30,4.9
2013-11-03 01:40,5
2013-11-03 01:50,5
2013-11-03 02:00,4
2013-11-03 02:10,4.3
2013-11-03 02:20,4
2013-11-03 02:30,4.1
2013-11-03 02:40,4.1
2013-11-03 02:50,4.1
2013-11-03 03:00,4.2
2013-11-03 03:10,4.9
2013-11-03 03:20,4.7
2013-11-03 03:30,4.8
2013-11-03 03:40,4.7
2013-11-03 03:50,4.8
2013-11-03 04:00,4.7
2013-11-03 04:10,5.7
2013-11-03 04:20,5.6
2013-11-03 04:30,5.5
2013-11-03 04:40,5.4
2013-11-03 04:50,5.5
2013-11-03 05:00,5.4
2013-11-03 05:10,5.4
2013-11-03 05:20,5.3
2013-11-03 05:30,5.2
2013-11-03 05:40,18.8
2013-11-03 05:50,19.5
2013-11-03 06:00,20.1
2013-11-03 06:10,19.1
2013-11-03 06:20,19.2
2013-11-03 06:30,19.3
2013-11-03 06:40,20.3
2013-11-03 06:50,20.3
2013-11-03 07:00,20.3
2013-11-03 07:10,20.3
2013-11-03 07:20,20.2
2013-11-03 07:30,20.3
2013-11-03 07:40,20.3
2013-11-03 07:50,20.4
2013-11-03 08:00,20.4
2013-11-03 08:10,19.4
2013-11-03 08:20,19.3
2013-11-03 08:30,19.3
2013-11-03 08:40,19.3
2013-11-03 08:50,19.3
2013-11-03 09:00,19.4
2013-11-03 09:10,19.4
2013-11-03 09:20,19.3
2013-11-03 09:30,21
2013-11-03 09:40,20.7
2013-11-03 09:50,20.6
2013-11-03 10:00,20.8
2013-11-03 10:10,20.6
2013-11-03 10:20,20.6
2013-11-03 10:30,20.6
2013-11-03 10:40,20.6
2013-11-03 10:50,20.6
2013-11-03 11:00,20.6
2013-11-03 11:10,20.6
2013-11-03 11:20,3.9
2013-11-03 11:30,3.9
2013-11-03 11:40,3.9
2013-11-03 11:50,4.3
2013-11-03 12:00,4
2013-11-03 12:10,3.8
2013-11-03 12:20,3.9
2013-11-03 12:30,3.9
2013-11-03 12:40,3.9
2013-11-03 12:50,3.8
2013-11-03 13:00,3.9
2013-11-03 13:10,3.7
2013-11-03 13:20,3.8
2013-11-03 13:30,5.2
2013-11-03 13:40,5.1
2013-11-03 13:50,5.2
2013-11-03 14:00,5.1
2013-11-03 14:10,5.2
2013-11-03 14:20,5.1
2013-11-03 14:30,5.1
2013-11-03 14:40,6.3
2013-11-03 14:50,6.3
2013-11-03 15:00,5.3
2013-11-03 15:10,5.3
2013-11-03 15:20,5.3
2013-11-03 15:30,5.2
2013-11-03 15:40,5.3
2013-11-03 15:50,5.7
2013-11-03 16:00,5.6
2013-11-03 16:10,5.5
2013-11-03 16:20,5.5
2013-11-03 16:30,4.7
2013-11-03 16:40,4.7
2013-11-03 16:50,4.8
2013-11-03 17:00,17.9
2013-11-03 17:10,18.5
2013-11-03 17:20,19.1
2013-11-03 17:30,19.1
2013-11-03 17:40,19.2
2013-11-03 17:50,19.3
2013-11-03 18:00,19.1
2013-11-03 18:10,20.4
2013-11-03 18:20,20.4
2013-11-03 18:30,20.3
2013-11-03 18:40,20.3
2013-11-03 18:50,20.4
2013-11-03 19:00,20.3
2013-11-03 19:10,20.4
2013-11-03 19:20,20.5
2013-11-03 19:30,20.4
2013-11-03 19:40,20.5
2013-11-03 19:50,21.9
2013-11-03 20:00,21.8
2013-11-03 20:10,21.7
2013-11-03 20:20,21.7
2013-11-03 20:30,21.7
2013-11-03 20:40,21.8
2013-11-03 20:50,21.7
2013-11-03 21:00,20.7
2013-11-03 21:10,20.8
2013-11-03 21:20,20.8
2013-11-03 21:30,21.1
2013-11-03 21:40,19.6
2013-11-03 21:50,19.5
2013-11-03 22:00,19.5
2013-11-03 22:10,20
2013-11-03 22:20,19.8
2013-11-03 22:30,4.5
2013-11-03 22:40,4.5
2013-11-03 22:50,5.5
2013-11-03 23:00,5.3
2013-11-03 23:10,5.3
2013-11-03 23:20,5.3
