Date,W1
1981-01-01,98.85
1981-01-02,161.76
1981-01-03,331.37
1981-01-04,149.32
1981-01-05,29.88
1981-01-06,220.92
1981-01-07,30.04
1981-01-08,203.52
1981-01-09,98.94
1981-01-10,231.6
1981-01-11,386.43
1981-01-12,153.4
1981-01-13,149.07
1981-01-14,225.07
1981-01-15,30.05
1981-01-16,205.3
1981-01-17,30.02
1981-01-18,108.57
1981-01-19,287.89
1981-01-20,99.14
1981-01-21,333.65
1981-01-22,152.03
1981-01-23,147.26
1981-01-24,207.9
1981-01-25,30.04
1981-01-26,30.17
1981-01-27,225.08
1981-01-28,99.8
1981-01-29,275.08
1981-01-30,163.65
1981-01-31,155.33
1981-02-01,340.31
1981-02-02,30.08
1981-02-03,30.15
1981-02-04,223.21
1981-02-05,29.8
1981-02-06,278.42
1981-02-07,99.56
1981-02-08,29.76
1981-02-09,351.97
1981-02-10,152.38
1981-02-11,203.9
1981-02-12,30.06
1981-02-13,29.99
1981-02-14,214.47
1981-02-15,105.88
1981-02-16,99.78
1981-02-17,422.99
1981-02-18,158.1
1981-02-19,328.8
1981-02-20,29.9
1981-02-21,29.84
1981-02-22,222.55
1981-02-23,29.9
1981-02-24,286.25
1981-02-25,99.3
1981-02-26,99.08
1981-02-27,339.82
1981-02-28,154.37
1981-03-01,148.97
1981-03-02,223.9
1981-03-03,29.9
1981-03-04,204.26
1981-03-05,29.88
1981-03-06,99.53
1981-03-07,287.55
1981-03-08,165.01
1981-03-09,157.36
1981-03-10,349.02
1981-03-11,29.91
1981-03-12,206.77
1981-03-13,29.76
1981-03-14,29.7
1981-03-15,293.74
1981-03-16,99.23
1981-03-17,272.37
1981-03-18,174
1981-03-19,166.47
1981-03-20,233.28
1981-03-21,95.47
1981-03-22,247.25
1981-03-23,151.39
1981-03-24,109.18
1981-03-25,277.05
1981-03-26,98.88
1981-03-27,195.16
1981-03-28,378.28
1981-03-29,187.52
1981-03-30,233.24
1981-03-31,252.32
1981-04-01,1004.11
1981-04-02,296.26
1981-04-03,99.14
1981-04-04,98.93
1981-04-05,223.34
1981-04-06,162.84
1981-04-07,327.69
1981-04-08,148.12
1981-04-09,29.23
1981-04-10,209.07
1981-04-11,29.48
1981-04-12,101.58
1981-04-13,291.89
1981-04-14,97.67
1981-04-15,205.16
1981-04-16,158.31
1981-04-17,151.81
1981-04-18,29.44
1981-04-19,29.34
1981-04-20,207.4
1981-04-21,109.66
1981-04-22,99.32
1981-04-23,291.78
1981-04-24,29.51
1981-04-25,379.51
1981-04-26,349.27
1981-04-27,302.94
1981-04-28,365.41
1981-04-29,135.98
1981-04-30,29.19
1981-05-01,297.12
1981-05-02,99.29
1981-05-03,204.59
1981-05-04,29.5
1981-05-05,157.48
1981-05-06,344.78
1981-05-07,29.49
1981-05-08,201.96
1981-05-09,29.46
1981-05-10,100.82
1981-05-11,280.96
1981-05-12,29.33
1981-05-13,29.33
1981-05-14,162.79
1981-05-15,154.74
1981-05-16,324.46
1981-05-17,28.99
1981-05-18,29.26
1981-05-19,300.56
1981-05-20,97.7
1981-05-21,269.56
1981-05-22,29.19
1981-05-23,29.07
1981-05-24,334.51
1981-05-25,150.46
1981-05-26,29.52
1981-05-27,224.62
1981-05-28,29.56
1981-05-29,271.86
1981-05-30,98.14
1981-05-31,29.6
1981-06-01,210.19
1981-06-02,165.41
1981-06-03,193.17
1981-06-04,372.09
1981-06-05,60.28
1981-06-06,242.21
1981-06-07,142.71
1981-06-08,1410.04
1981-06-09,320.55
1981-06-10,66.38
1981-06-11,64.68
1981-06-12,396
1981-06-13,188.13
1981-06-14,355.12
1981-06-15,60.15
1981-06-16,149.05
1981-06-17,410.56
1981-06-18,215.24
1981-06-19,317.96
1981-06-20,144.65
1981-06-21,143.44
1981-06-22,459.03
1981-06-23,265.13
1981-06-24,29.92
1981-06-25,223.04
1981-06-26,101.41
1981-06-27,274.39
1981-06-28,98.51
1981-06-29,29.58
1981-06-30,219.18
1981-07-01,29.64
1981-07-02,157.17
1981-07-03,343.03
1981-07-04,29.66
1981-07-05,286.87
1981-07-06,98.91
1981-07-07,98.85
1981-07-08,219.86
1981-07-09,29.75
1981-07-10,29.8
1981-07-11,358.86
1981-07-12,154.54
1981-07-13,325.45
1981-07-14,29.8
1981-07-15,99.45
1981-07-16,285.54
1981-07-17,29.46
1981-07-18,29.7
1981-07-19,221.85
1981-07-20,29.5
1981-07-21,337.42
1981-07-22,153.5
1981-07-23,229.24
1981-07-24,291.83
1981-07-25,99.21
1981-07-26,202.85
1981-07-27,29.8
1981-07-28,29.79
1981-07-29,206.36
1981-07-30,29.84
1981-07-31,159.78
1981-08-01,429.37
1981-08-02,99.73
1981-08-03,278.43
1981-08-04,29.43
1981-08-05,227.8
1981-08-06,29.69
1981-08-07,223.39
1981-08-08,29.7
1981-08-09,339.67
1981-08-10,154.28
1981-08-11,398.95
1981-08-12,296.27
1981-08-13,98.9
1981-08-14,203.3
1981-08-15,224.16
1981-08-16,29.75
1981-08-17,202.66
1981-08-18,221.59
1981-08-19,157.88
1981-08-20,323.19
1981-08-21,304.32
1981-08-22,99.87
1981-08-23,272.23
1981-08-24,29.68
1981-08-25,29.07
1981-08-26,204.65
1981-08-27,138.19
1981-08-28,275.16
1981-08-29,409.88
1981-08-30,2073.6
1981-08-31,337.97
1981-09-01,478.42
1981-09-02,174.07
1981-09-03,407.05
1981-09-04,301.4
1981-09-05,108.69
1981-09-06,414.88
1981-09-07,644.93
1981-09-08,440.63
1981-09-09,488.61
1981-09-10,415.55
1981-09-11,288.65
1981-09-12,353.71
1981-09-13,101.53
1981-09-14,227.89
1981-09-15,402.69
1981-09-16,220.4
1981-09-17,106.93
1981-09-18,278.53
1981-09-19,102.35
1981-09-20,107.96
1981-09-21,366.54
1981-09-22,176.11
1981-09-23,306.65
1981-09-24,405.76
1981-09-25,227.56
1981-09-26,107.67
1981-09-27,285.37
1981-09-28,179.8
1981-09-29,185.04
1981-09-30,370.77
1981-10-01,140.8
1981-10-02,299.3
1981-10-03,526.65
1981-10-04,158.57
1981-10-05,29.5
1981-10-06,219.76
1981-10-07,29.51
1981-10-08,29.51
1981-10-09,221.55
1981-10-10,162.54
1981-10-11,328.76
1981-10-12,417.26
1981-10-13,100.24
1981-10-14,202.66
1981-10-15,220.36
1981-10-16,29.6
1981-10-17,202.75
1981-10-18,222.24
1981-10-19,160.14
1981-10-20,332.47
1981-10-21,150.92
1981-10-22,100.42
1981-10-23,275.35
1981-10-24,29.77
1981-10-25,29.5
1981-10-26,206.06
1981-10-27,29.74
1981-10-28,29.73
1981-10-29,340.28
1981-10-30,154.03
1981-10-31,149.13
1981-11-01,282.26
1981-11-02,100.51
1981-11-03,70.37
1981-11-04,215.91
1981-11-05,29.84
1981-11-06,29.94
1981-11-07,356.35
1981-11-08,158.19
1981-11-09,151.89
1981-11-10,225.16
1981-11-11,116
1981-11-12,317.49
1981-11-13,293.27
1981-11-14,29.92
1981-11-15,205.47
1981-11-16,29.81
1981-11-17,162.22
1981-11-18,331.33
1981-11-19,149.22
1981-11-20,29.88
1981-11-21,209.45
1981-11-22,103.74
1981-11-23,100.85
1981-11-24,287.26
1981-11-25,29.66
1981-11-26,29.91
1981-11-27,354.03
1981-11-28,153.62
1981-11-29,203.61
1981-11-30,224.95
1981-12-01,29.9
1981-12-02,204.22
1981-12-03,99.95
1981-12-04,100.1
1981-12-05,207.26
1981-12-06,165.07
1981-12-07,157.47
1981-12-08,338.72
1981-12-09,29.86
1981-12-10,29.92
1981-12-11,224.62
1981-12-12,30
1981-12-13,275.79
1981-12-14,294.58
1981-12-15,29.77
1981-12-16,337.93
1981-12-17,155.09
1981-12-18,149.42
1981-12-19,206.45
1981-12-20,30.01
1981-12-21,29.93
1981-12-22,214.27
1981-12-23,110.17
1981-12-24,100.49
1981-12-25,293.12
1981-12-26,160.76
1981-12-27,153.28
1981-12-28,346.42
1981-12-29,29.9
1981-12-30,205.71
1981-12-31,29.9
1982-01-01,29.85
1982-01-02,211.41
1982-01-03,100.06
1982-01-04,99.77
1982-01-05,353.71
1982-01-06,152.67
1982-01-07,203.41
1982-01-08,29.73
1982-01-09,29.65
1982-01-10,207.53
1982-01-11,29.94
1982-01-12,29.88
1982-01-13,298.89
1982-01-14,232.53
1982-01-15,401.24
1982-01-16,165.18
1982-01-17,44.25
1982-01-18,218.65
1982-01-19,93.31
1982-01-20,99.63
1982-01-21,220.85
1982-01-22,1311.32
1982-01-23,201.74
1982-01-24,232.83
1982-01-25,224.04
1982-01-26,325.75
1982-01-27,1415.57
1982-01-28,130.14
1982-01-29,1279.25
1982-01-30,1046.64
1982-01-31,3082.98
1982-02-01,1132.23
1982-02-02,390
1982-02-03,2423.32
1982-02-04,269.32
1982-02-05,256.96
1982-02-06,78.07
1982-02-07,226.15
1982-02-08,236.13
1982-02-09,419.49
1982-02-10,228.97
1982-02-11,208.64
1982-02-12,163.8
1982-02-13,402.12
1982-02-14,498.24
1982-02-15,233.33
1982-02-16,409.21
1982-02-17,242.46
1982-02-18,245.33
1982-02-19,409.14
1982-02-20,316.86
1982-02-21,468.47
1982-02-22,747.73
1982-02-23,282.73
1982-02-24,172.26
1982-02-25,1581.31
1982-02-26,664.81
1982-02-27,29.26
1982-02-28,211.05
1982-03-01,29.44
1982-03-02,29.68
1982-03-03,345.52
1982-03-04,230.29
1982-03-05,1099.71
1982-03-06,289.18
1982-03-07,29.63
1982-03-08,29.64
1982-03-09,218.53
1982-03-10,29.67
1982-03-11,29.9
1982-03-12,354.83
1982-03-13,156.74
1982-03-14,2321.64
1982-03-15,444.23
1982-03-16,133.35
1982-03-17,237.85
1982-03-18,971.31
1982-03-19,688.11
1982-03-20,242.55
1982-03-21,297.12
1982-03-22,280.48
1982-03-23,435.09
1982-03-24,447.18
1982-03-25,68.49
1982-03-26,65.04
1982-03-27,253.75
1982-03-28,66.55
1982-03-29,66.93
1982-03-30,248.73
1982-03-31,129.94
1982-04-01,441.89
1982-04-02,448.5
1982-04-03,177.19
1982-04-04,2087.31
1982-04-05,255.3
1982-04-06,63.78
1982-04-07,230.6
1982-04-08,249.56
1982-04-09,395.31
1982-04-10,431.63
1982-04-11,391.89
1982-04-12,227.62
1982-04-13,278.78
1982-04-14,301.43
1982-04-15,111.63
1982-04-16,251.24
1982-04-17,271.56
1982-04-18,158.16
1982-04-19,406.1
1982-04-20,224.91
1982-04-21,1618.74
1982-04-22,205.63
1982-04-23,586
1982-04-24,255.11
1982-04-25,204.66
1982-04-26,178.87
1982-04-27,1010.44
1982-04-28,345.4
1982-04-29,232.24
1982-04-30,224.88
1982-05-01,333.46
1982-05-02,29.68
1982-05-03,29.65
1982-05-04,220.06
1982-05-05,111.94
1982-05-06,101.68
1982-05-07,294.62
1982-05-08,29.52
